,Country,Amount
252,Afghanistan,38494
436,Albania,10406
689,Algeria,46653
874,Andorra,1261
1045,Angola,2965
1211,Anguilla,3
1384,Antigua and Barbuda,95
1572,Argentina,478779
1825,Armenia,44845
2000,Aruba,2482
2253,Australia,26322
2506,Austria,29875
2759,Azerbaijan,37418
2934,Bahamas,2585
3187,Bahrain,56076
3366,Bangladesh,327359
3541,Barbados,179
3794,Belarus,73031
4047,Belgium,88675
4216,Belize,1307
4392,Benin,2213
4565,Bermuda,175
4747,Bhutan,233
4927,Bolivia,121604
5087,Bonaire Sint Eustatius and Saba,19
5269,Bosnia and Herzegovina,21660
5430,Botswana,2126
5683,Brazil,4147794
5849,British Virgin Islands,63
6031,Brunei,145
6214,Bulgaria,17146
6394,Burkina Faso,1463
6555,Burundi,466
6808,Cambodia,274
6990,Cameroon,19604
7243,Canada,132142
7415,Cape Verde,4358
7588,Cayman Islands,205
7765,Central African Republic,4729
7938,Chad,1040
8126,Chile,424274
8379,China,90079
8562,Colombia,671848
8692,Comoros,452
8869,Congo,4891
9054,Costa Rica,48780
9233,Cote d'Ivoire,18701
9486,Croatia,12081
9664,Cuba,4352
9839,Curacao,102
10020,Cyprus,1510
10273,Czech Republic,28716
10453,Democratic Republic of the Congo,10233
10706,Denmark,18113
10880,Djibouti,5388
11050,Dominica,20
11303,Dominican Republic,99898
11556,Ecuador,110092
11809,Egypt,100041
11983,El Salvador,26413
12161,Equatorial Guinea,4972
12332,Eritrea,330
12585,Estonia,2532
12764,Ethiopia,59648
12951,Faeroe Islands,413
13109,Falkland Islands,13
13282,Fiji,31
13535,Finland,8327
13788,France,328980
13962,French Polynesia,711
14141,Gabon,8608
14316,Gambia,3197
14569,Georgia,1684
14822,Germany,252298
15001,Ghana,45012
15174,Gibraltar,315
15427,Greece,11663
15600,Greenland,14
15770,Grenada,24
15944,Guam,1671
16122,Guatemala,77828
16295,Guernsey,253
16473,Guinea,9798
16639,Guinea-Bissau,2245
16817,Guyana,1560
16990,Haiti,8362
17169,Honduras,64814
17356,Hungary,8963
17609,Iceland,2143
17862,India,4280422
18115,Indonesia,196989
18439,Iran,388810
18692,Iraq,264684
18945,Ireland,29774
19117,Isle of Man,337
19370,Israel,135043
19623,Italy,278784
19803,Jamaica,3183
20056,Japan,72234
20229,Jersey,384
20415,Jordan,2478
20593,Kazakhstan,134203
20772,Kenya,35205
20951,Kosovo,14076
21204,Kuwait,90387
21378,Kyrgyzstan,44526
21546,Laos,22
21732,Latvia,1429
21985,Lebanon,20826
22102,Lesotho,1148
22278,Liberia,1311
22446,Libya,18833
22629,Liechtenstein,108
22882,Lithuania,3100
23135,Luxembourg,6950
23388,Macedonia,15090
23560,Madagascar,15352
23719,Malawi,5621
23972,Malaysia,9459
24155,Maldives,8667
24322,Mali,2870
24508,Malta,2076
24686,Mauritania,7142
24859,Mauritius,356
25112,Mexico,637509
25295,Moldova,40055
25548,Monaco,153
25727,Mongolia,310
25902,Montenegro,5659
26074,Montserrat,13
26260,Morocco,73780
26430,Mozambique,4557
26601,Myanmar,1610
26779,Namibia,8810
27032,Nepal,47236
27285,Netherlands,75512
27457,New Caledonia,26
27710,New Zealand,1431
27884,Nicaragua,4668
28056,Niger,1178
28309,Nigeria,55160
28471,Northern Mariana Islands,59
28724,Norway,11387
28977,Oman,87328
29230,Pakistan,299233
29416,Palestine,34801
29599,Panama,97578
29771,Papua New Guinea,497
29953,Paraguay,23353
30138,Peru,691575
30391,Philippines,238727
30578,Poland,71126
30768,Portugal,60507
30933,Puerto Rico,35375
31186,Qatar,120348
31439,Romania,95897
31692,Russia,1030690
31870,Rwanda,4409
32037,Saint Kitts and Nevis,17
32215,Saint Lucia,26
32390,Saint Vincent and the Grenadines,62
32643,San Marino,735
32796,Sao Tome and Principe,898
32983,Saudi Arabia,321595
33170,Senegal,14014
33353,Serbia,31941
33531,Seychelles,137
33692,Sierra Leone,2055
33945,Singapore,57044
34130,Sint Maarten (Dutch part),516
34315,Slovakia,4636
34502,Slovenia,3190
34678,Somalia,3362
34863,South Africa,639362
35116,South Korea,21432
35272,South Sudan,2545
35777,Sri Lanka,3123
35956,Sudan,13437
36129,Suriname,4360
36307,Swaziland,4884
36560,Sweden,85558
36813,Switzerland,44484
36983,Syria,3229
37236,Taiwan,494
37367,Tajikistan,8824
37543,United Republic of Tanzania,509
37796,Thailand,3446
37967,Timor,27
38148,Togo,1493
38328,Trinidad and Tobago,2277
38513,Tunisia,5124
38692,Turkey,281509
38860,Turks and Caicos Islands,599
39031,Uganda,3776
39215,Ukraine,138068
39468,United Arab Emirates,74454
39721,United Kingdom,350100
39974,USA,6300671
40143,United States Virgin Islands,1190
40321,Uruguay,1693
40498,Uzbekistan,44107
40679,Vatican,12
40857,Venezuela,54350
41110,Vietnam,1049
41246,Western Sahara,766
41499,World,27366648
41651,Yemen,1991
41825,Zambia,12836
41997,Zimbabwe,7298